NR, 1, 2, 3, 4, 5, 6, 7, 8
177,4,10,39,5,37,31,3,62
178,4,12,38,5,37,31,3,62
179,3,13,38,5,37,31,3,61
180,2,16,39,5,37,31,3,60
181,2,12,39,5,37,31,3,60
182,2,12,38,6,37,32,3,60
183,3,8,39,5,38,31,3,60
184,2,8,39,5,37,31,3,60
185,2,10,39,5,38,32,3,61
186,2,15,38,5,37,31,4,62
187,2,19,37,6,38,31,4,62
188,2,14,37,6,38,31,3,62
189,3,10,37,6,37,31,3,62
190,2,9,38,6,37,31,3,62
191,2,6,38,6,38,31,3,63
192,2,5,39,6,37,31,4,64
193,2,6,39,6,38,31,4,64
194,2,10,39,6,38,31,4,64
195,2,11,39,6,38,30,4,65
196,2,8,38,6,38,30,5,64
197,2,13,37,6,38,30,5,64
198,2,14,37,6,38,30,5,63
199,1,13,36,6,38,29,6,63
200,1,13,36,6,38,29,6,63
1,10,59,10,3,30,30,3,50
2,20,55,9,2,30,29,3,49
3,22,26,10,2,29,30,3,49
4,22,12,11,3,29,30,3,49
5,22,8,12,3,29,30,3,50
6,22,7,13,3,30,29,3,49
7,23,6,14,3,30,30,3,49
8,21,7,15,3,30,30,3,49
9,20,3,16,2,30,30,3,49
10,20,2,18,3,29,29,3,49
11,20,3,19,2,29,29,3,49
12,19,5,20,3,29,29,3,49
13,18,8,21,3,29,29,3,49
14,16,13,21,3,29,29,3,49
15,13,12,20,3,29,29,2,49
16,12,12,20,3,29,29,2,49
17,12,16,21,3,29,29,2,49
18,12,12,21,3,29,29,2,49
19,12,16,20,3,29,29,2,48
20,12,17,20,3,29,29,3,48
21,12,12,21,3,29,30,2,48
22,14,7,23,4,29,30,2,47
23,14,5,24,3,28,30,3,47
24,14,4,24,4,28,30,3,47
25,14,5,25,3,28,31,3,47
26,14,8,25,4,28,30,3,47
27,14,9,26,4,28,31,3,47
28,14,4,27,4,29,30,3,47
29,14,8,28,4,29,30,3,48
30,12,7,28,4,28,30,2,48
31,10,7,29,5,28,28,2,47
32,10,6,30,5,28,28,2,47
33,10,9,29,5,28,28,1,48
34,10,9,30,5,28,27,1,48
35,10,12,30,4,28,27,2,49
36,10,14,30,5,28,27,2,49
37,10,13,30,5,28,27,2,49
38,10,12,30,5,28,27,2,49
39,10,7,31,5,28,28,2,49
40,8,7,32,5,28,28,3,49
41,8,9,32,5,28,28,4,49
42,7,7,32,5,28,28,4,48
43,6,7,34,4,29,29,3,48
44,6,5,34,4,31,30,4,48
45,6,7,34,4,31,30,4,48
46,5,11,34,4,31,30,3,48
47,4,9,34,4,31,30,2,49
48,4,9,34,4,31,30,2,49
49,4,6,35,5,31,30,2,49
50,4,5,36,5,31,30,2,49
51,4,9,35,5,31,30,2,49
52,4,7,35,5,31,30,2,49
53,4,13,34,5,31,30,2,48
54,4,20,31,5,30,30,2,48
55,4,23,29,5,30,30,2,48
56,4,20,28,5,30,30,2,48
57,2,16,27,6,30,30,1,44
58,2,15,27,6,31,29,1,44
59,2,9,27,6,31,30,1,43
60,2,12,27,6,30,30,1,43
61,2,11,27,7,30,30,1,44
62,2,9,26,7,29,30,1,44
63,2,9,26,6,29,30,1,44
64,2,7,26,6,29,30,1,45
65,2,11,26,6,30,30,1,45
66,4,10,26,6,30,30,1,46
67,4,10,27,6,31,30,2,46
68,4,10,26,5,31,30,2,45
69,4,14,26,6,31,30,2,45
70,5,15,26,5,31,30,3,45
71,4,17,26,5,30,31,3,45
72,4,11,26,5,30,30,4,45
73,4,14,27,5,30,30,4,44
74,4,10,27,5,31,30,3,44
75,4,12,28,5,30,31,3,44
76,4,16,27,5,30,31,3,44
77,4,18,28,6,30,30,3,44
78,4,14,26,7,31,30,3,44
79,4,18,25,7,31,30,3,45
80,4,14,24,7,31,30,3,45
81,4,12,22,8,31,30,3,45
82,4,15,22,7,32,30,3,45
83,4,14,20,7,31,30,3,45
