1,10,60,11,3,30,30,3,50
2,20,62,11,3,29,30,3,50
3,20,29,11,3,29,29,2,50
4,22,17,12,3,29,30,2,49
5,22,5,13,3,30,29,2,49
6,24,5,14,3,30,29,2,49
7,23,5,15,3,30,29,2,50
8,22,6,16,3,30,29,2,50
9,22,7,17,3,30,29,2,50
10,22,8,17,3,30,29,2,50
11,22,10,17,3,30,29,2,50
12,22,18,17,3,30,29,2,50
13,21,21,17,3,30,29,2,50
14,20,21,17,3,30,29,1,49
15,20,17,17,4,30,29,1,50
16,21,15,17,4,29,30,1,50
17,20,8,18,5,30,30,1,50
18,20,9,18,5,30,29,1,50
19,20,12,18,5,31,30,1,50
20,20,8,18,6,32,30,2,50
21,20,10,18,5,31,30,2,49
22,20,12,19,5,32,30,2,49
23,20,9,19,5,33,30,2,49
24,22,9,19,5,33,30,2,49
25,22,10,20,6,33,30,2,49
26,22,14,20,6,33,30,2,49
27,22,12,20,6,33,30,2,49
28,22,13,19,6,33,30,2,49
29,24,12,19,6,32,30,2,49
30,24,14,19,6,32,30,2,49
31,24,13,18,6,33,30,2,49
32,24,19,18,6,33,30,2,49
33,23,17,18,6,33,30,2,49
34,22,14,18,6,33,30,2,48
35,21,10,19,6,34,30,2,48
36,20,10,19,6,34,30,2,48
37,20,11,19,6,34,31,2,48
38,20,10,20,6,35,31,2,48
39,20,15,20,6,34,31,2,48
40,21,9,20,8,34,31,2,49
41,20,11,20,8,34,31,2,48
42,20,8,21,8,34,31,2,48
43,20,8,21,8,35,32,2,48
44,20,5,22,7,35,31,2,48
45,20,7,22,7,34,31,2,48
46,20,6,23,7,34,31,2,48
47,20,9,23,7,35,31,2,48
48,20,6,23,7,35,32,2,49
49,21,5,24,6,35,33,2,49
50,20,5,24,7,35,32,2,49
51,19,9,24,7,35,32,2,49
52,18,10,24,7,36,32,2,50
53,18,13,24,7,37,33,2,50
54,17,11,24,7,36,32,2,50
55,16,11,25,7,35,32,2,50
56,15,5,26,7,35,32,2,50
57,16,6,27,7,37,32,2,51
58,14,6,27,7,38,32,1,51
59,14,7,28,7,38,32,1,51
60,14,5,29,6,38,32,1,51
61,14,9,28,6,38,32,1,51
62,14,14,27,6,38,33,1,51
63,14,13,27,7,38,33,1,51
64,14,13,27,6,38,33,1,51
65,14,7,28,7,39,33,1,51
66,14,5,28,6,38,33,1,51
67,14,8,28,6,38,33,1,51
68,14,7,28,7,39,33,2,51
